,alcohol,total sulfur dioxide,volatile acidity,fixed acidity,residual sugar,chlorides,free sulfur dioxide,pH,sulphates,citric acid,density
195,9.4,120.0,0.59,7.8,2.0,0.074,24.0,3.25,0.54,0.33,0.9968
488,10.8,67.0,0.32,11.6,2.8,0.081,35.0,3.32,0.92,0.55,1.0002
346,12.3,34.0,0.815,6.6,2.7,0.072,17.0,3.58,0.89,0.02,0.9955
870,11.8,43.0,0.715,7.7,2.1,0.064,31.0,3.41,0.57,0.01,0.99371
75,10.5,42.0,0.41,8.8,2.2,0.093,9.0,3.54,0.66,0.64,0.9986
1501,9.4,64.0,0.82,7.8,4.3,0.083,21.0,3.16,0.53,0.29,0.99642
474,9.4,24.0,0.28,10.5,1.7,0.08,10.0,3.2,0.89,0.51,0.9982
652,14.9,71.0,0.36,15.9,7.5,0.096,22.0,2.98,0.84,0.65,0.9976
1406,10.9,22.0,0.24,8.2,5.1,0.062,8.0,3.22,0.94,0.34,0.9974
679,9.6,49.0,0.26,10.8,3.3,0.06,20.0,3.13,0.54,0.45,0.9972
1381,9.6,25.0,0.83,6.8,1.8,0.074,4.0,3.38,0.45,0.09,0.99534
1470,9.7,24.0,0.69,10.0,1.4,0.084,8.0,2.88,0.47,0.11,0.99578
1019,10.4,23.0,0.5,7.0,1.8,0.078,10.0,3.53,0.61,0.14,0.99636
284,9.8,71.0,0.59,9.9,3.4,0.102,32.0,3.31,0.71,0.07,1.00015
1015,11.4,27.0,0.39,10.5,2.2,0.075,14.0,3.06,0.84,0.46,0.99598
1506,10.8,14.0,0.81,6.8,2.0,0.07,6.0,3.51,0.66,0.05,0.99562
550,9.5,25.0,0.51,6.8,2.1,0.074,9.0,3.33,0.56,0.01,0.9958
672,9.5,151.0,1.24,9.8,2.0,0.079,32.0,3.15,0.53,0.34,0.998
800,9.4,108.0,0.61,7.2,4.0,0.082,26.0,3.25,0.51,0.08,0.99641
1287,13.0,7.0,0.6,8.0,2.6,0.056,3.0,3.22,0.37,0.08,0.99286
597,10.0,18.0,0.58,11.9,1.9,0.071,5.0,3.09,0.63,0.58,0.998
1313,10.1,65.0,0.36,7.0,2.3,0.086,20.0,3.4,0.54,0.21,0.99558
524,9.5,116.0,0.43,9.2,2.4,0.086,23.0,3.23,0.64,0.49,0.9976
677,9.9,31.0,0.8,8.6,2.3,0.084,12.0,3.4,0.48,0.11,0.9979
894,9.8,88.0,0.63,7.2,2.2,0.08,17.0,3.53,0.58,0.03,0.99745
822,9.8,36.0,0.54,6.7,2.0,0.076,15.0,3.61,0.64,0.13,0.9973
335,12.2,21.0,0.695,11.9,3.4,0.128,7.0,3.17,0.84,0.53,0.9992
1432,11.7,11.0,0.44,5.9,1.6,0.042,3.0,3.48,0.85,0.0,0.9944
330,12.5,41.0,0.36,10.2,2.9,0.122,10.0,3.23,0.66,0.64,0.998
580,9.6,14.0,0.5,12.3,2.2,0.089,5.0,3.19,0.44,0.49,1.0002
784,9.8,85.0,0.59,7.1,2.5,0.077,20.0,3.55,0.59,0.01,0.99746
1039,11.1,39.0,0.5,8.9,2.2,0.088,21.0,3.33,0.83,0.21,0.99692
292,10.3,48.0,0.55,10.4,2.7,0.091,18.0,3.22,0.64,0.23,0.9994
1087,11.2,30.0,0.19,7.9,1.6,0.057,18.0,3.29,0.69,0.42,0.994
1493,9.7,147.0,0.54,7.7,1.9,0.089,23.0,3.26,0.59,0.26,0.99636
1489,10.8,11.0,0.57,6.2,2.1,0.048,4.0,3.44,0.76,0.1,0.99448
402,10.5,64.0,0.48,12.2,2.6,0.085,19.0,3.1,0.61,0.54,1.0
481,11.7,17.0,0.3,9.4,2.8,0.08,6.0,3.15,0.92,0.56,0.9964
496,9.0,38.0,0.52,7.8,1.9,0.081,14.0,3.43,0.65,0.25,0.9984
1413,10.1,89.0,0.57,9.9,2.0,0.104,12.0,3.04,0.9,0.25,0.9963
1312,10.5,41.0,1.18,8.0,1.9,0.083,14.0,3.34,0.47,0.21,0.99532
108,9.6,80.0,0.33,8.0,2.5,0.091,18.0,3.37,0.8,0.53,0.9976
84,10.3,61.0,0.3,6.3,1.8,0.069,18.0,3.44,0.78,0.48,0.9959
605,9.2,24.0,0.6,8.3,2.6,0.085,6.0,3.31,0.59,0.13,0.9984
1386,9.6,23.0,0.64,7.4,1.8,0.1,8.0,3.3,0.58,0.07,0.9961
1454,10.9,23.0,0.45,11.7,2.2,0.073,7.0,3.21,0.69,0.63,0.99974
1091,11.4,19.0,0.34,7.9,2.0,0.086,8.0,3.35,0.6,0.42,0.99546
733,9.5,72.0,0.45,7.0,2.7,0.082,16.0,3.55,0.6,0.34,0.998
955,10.4,23.0,0.21,8.5,1.9,0.09,9.0,3.36,0.67,0.52,0.99648
286,10.3,49.0,0.45,12.0,2.0,0.073,25.0,3.1,0.76,0.55,0.9997
269,10.1,23.0,0.18,11.5,4.0,0.104,4.0,3.28,0.97,0.51,0.9996
615,9.7,71.0,0.6,9.6,2.3,0.079,28.0,3.5,0.57,0.5,0.9997
192,9.5,126.0,0.63,6.8,3.8,0.099,16.0,3.28,0.61,0.12,0.9969
539,11.2,17.0,0.5,11.2,5.15,0.1,5.0,3.22,0.62,0.74,0.9996
1142,11.4,12.0,0.45,6.9,2.4,0.043,6.0,3.3,0.65,0.11,0.99354
1245,10.5,34.0,0.55,7.4,1.8,0.082,15.0,3.49,0.68,0.19,0.99655
362,10.0,37.0,0.58,11.9,2.5,0.072,6.0,3.05,0.56,0.66,0.9992
1471,12.6,16.0,0.7,6.7,3.75,0.067,8.0,3.43,0.52,0.08,0.99334
174,9.5,35.0,0.38,7.3,2.0,0.08,7.0,3.33,0.47,0.21,0.9961
780,9.4,45.0,0.57,7.0,2.0,0.19,12.0,3.31,0.6,0.0,0.99676
1314,10.1,69.0,0.36,7.0,2.4,0.086,24.0,3.4,0.53,0.21,0.99556
721,9.2,106.0,0.48,8.9,2.85,0.094,35.0,3.1,0.53,0.24,0.9982
1484,10.9,11.0,0.91,6.8,2.0,0.06,4.0,3.53,0.64,0.06,0.99592
223,10.0,28.0,0.645,8.6,2.0,0.083,8.0,3.28,0.6,0.25,0.99815
471,11.4,52.0,0.54,9.6,2.4,0.081,25.0,3.2,0.71,0.42,0.997
1405,11.3,34.0,0.28,7.7,2.0,0.062,18.0,3.28,0.9,0.3,0.9952
930,10.5,25.0,0.61,6.6,1.9,0.08,8.0,3.69,0.73,0.01,0.99746
1121,12.3,28.0,0.5,6.6,1.8,0.062,21.0,3.44,0.55,0.0,0.99352
1448,9.7,54.0,0.58,6.9,1.9,0.08,40.0,3.4,0.73,0.01,0.99683
1017,12.7,109.0,0.18,8.0,0.9,0.049,36.0,2.89,0.44,0.37,0.99007
1460,10.4,64.0,0.42,6.4,2.3,0.054,34.0,3.41,0.68,0.09,0.99724
1418,9.8,19.0,0.53,7.8,1.6,0.077,3.0,3.16,0.46,0.01,0.995
970,10.9,10.0,0.26,10.4,1.9,0.066,6.0,3.33,0.87,0.48,0.99724
288,10.6,49.0,0.52,8.7,2.5,0.091,20.0,3.34,0.86,0.09,0.9976
252,10.5,21.0,0.35,11.1,3.1,0.09,5.0,3.17,0.53,0.48,0.9986
1488,11.4,13.0,0.54,5.6,1.7,0.049,5.0,3.72,0.58,0.04,0.9942
1558,9.5,115.0,0.63,6.9,6.7,0.235,66.0,3.22,0.56,0.33,0.99787
407,10.8,30.0,0.39,12.0,3.0,0.093,12.0,3.18,0.63,0.66,0.9996
16,10.5,103.0,0.28,8.5,1.8,0.092,35.0,3.3,0.75,0.56,0.9969
916,11.0,62.0,0.715,5.3,1.5,0.161,7.0,3.62,0.61,0.19,0.99395
1593,9.5,38.0,0.62,6.8,1.9,0.068,28.0,3.42,0.82,0.08,0.99651
454,11.1,67.0,0.23,7.0,1.6,0.063,21.0,3.5,0.63,0.4,0.9952
534,10.0,32.0,0.48,10.0,2.7,0.102,13.0,3.28,0.56,0.24,1.0
726,11.1,49.0,0.72,8.1,2.8,0.084,18.0,3.43,0.72,0.09,0.9994
1430,10.4,47.0,0.41,7.4,1.8,0.066,18.0,3.37,0.62,0.24,0.9956
259,10.5,33.0,0.31,10.0,2.6,0.085,14.0,3.36,0.8,0.47,0.99965
189,9.5,144.0,0.49,7.9,1.9,0.082,17.0,3.2,0.55,0.32,0.9968
1588,12.8,102.0,0.66,7.2,2.5,0.068,34.0,3.27,0.78,0.33,0.99414
879,9.5,88.0,0.6,7.2,2.5,0.076,18.0,3.53,0.55,0.04,0.99745
1320,10.1,88.0,0.66,9.7,2.6,0.094,12.0,3.26,0.66,0.34,0.99796
1449,11.3,29.0,0.38,7.2,2.0,0.056,15.0,3.23,0.76,0.31,0.99472
1521,9.05,23.0,0.48,6.9,1.9,0.082,9.0,3.39,0.43,0.2,0.99585
1177,12.7,11.0,0.66,7.1,2.4,0.052,6.0,3.35,0.66,0.0,0.99318
1115,11.3,21.0,0.69,7.0,2.5,0.091,15.0,3.38,0.6,0.07,0.99572
752,9.4,66.0,0.54,7.6,2.5,0.097,24.0,3.39,0.61,0.13,0.99785
1442,9.8,30.0,0.63,6.9,1.9,0.078,18.0,3.4,0.75,0.02,0.99712
1539,9.9,60.0,0.39,7.2,1.8,0.065,34.0,3.46,0.78,0.32,0.99714
585,9.6,38.0,0.51,7.6,2.4,0.091,8.0,3.47,0.66,0.24,0.998
513,11.8,15.0,0.51,10.5,2.4,0.107,6.0,3.09,0.66,0.64,0.9973
869,10.9,43.0,0.63,7.6,2.0,0.08,27.0,3.44,0.64,0.03,0.99578
712,9.4,33.0,0.69,8.7,3.2,0.084,13.0,3.36,0.45,0.0,0.9992
1591,11.6,26.0,0.74,5.4,1.7,0.089,16.0,3.67,0.56,0.09,0.99402
861,11.5,88.0,1.01,5.8,2.0,0.039,15.0,3.66,0.6,0.66,0.99357
714,9.8,77.0,0.74,9.9,2.6,0.078,21.0,3.28,0.51,0.28,0.998
731,11.5,14.0,0.875,8.9,3.45,0.088,4.0,3.44,0.52,0.13,0.9994
137,9.2,45.0,0.415,7.2,2.0,0.081,13.0,3.48,0.64,0.36,0.9972
1197,9.8,9.0,0.57,7.7,1.5,0.069,4.0,3.16,0.54,0.21,0.99458
1519,10.2,27.0,0.7,6.6,2.6,0.106,14.0,3.44,0.58,0.08,0.99665
573,9.6,47.0,0.59,10.5,2.1,0.07,14.0,3.3,0.56,0.49,0.9991
840,12.1,34.0,0.42,11.1,2.65,0.085,9.0,3.24,0.77,0.47,0.99736
421,12.3,48.0,0.84,6.6,2.3,0.059,32.0,3.52,0.56,0.03,0.9952
1424,9.6,23.0,0.26,8.3,1.4,0.076,8.0,3.26,0.7,0.37,0.9974
1195,9.5,56.0,0.43,6.2,1.8,0.078,21.0,3.52,0.6,0.22,0.99633
713,9.4,48.0,0.43,8.0,2.3,0.075,10.0,3.34,0.46,0.36,0.9976
1269,14.0,87.0,0.49,5.5,1.8,0.044,28.0,3.5,0.82,0.03,0.9908
1024,10.5,18.0,0.58,7.7,1.8,0.088,12.0,3.32,0.56,0.01,0.99568
25,9.3,23.0,0.39,6.3,1.4,0.08,11.0,3.34,0.56,0.16,0.9955
246,9.5,51.0,0.68,7.1,1.9,0.075,16.0,3.38,0.52,0.07,0.99685
1346,11.4,13.0,0.59,6.1,2.1,0.056,5.0,3.52,0.56,0.01,0.99472
90,9.5,140.0,0.52,7.9,1.9,0.079,42.0,3.23,0.54,0.26,0.9964
371,8.7,25.0,0.24,7.9,1.6,0.056,11.0,3.32,0.87,0.4,0.9967
14,9.2,145.0,0.62,8.9,3.8,0.176,52.0,3.16,0.88,0.18,0.9986
198,13.0,93.0,0.835,5.4,1.2,0.046,13.0,3.57,0.85,0.08,0.9924
1302,11.2,15.0,0.37,9.1,2.1,0.064,4.0,3.3,0.8,0.32,0.99576
860,9.5,85.0,0.62,7.2,2.7,0.077,15.0,3.51,0.54,0.06,0.99746
1182,10.5,54.0,0.4,10.2,2.5,0.068,41.0,3.38,0.86,0.4,0.99754
1497,11.5,16.0,0.74,6.9,2.3,0.054,7.0,3.45,0.63,0.03,0.99508
1298,12.2,18.0,0.6,5.7,1.4,0.063,11.0,3.45,0.56,0.0,0.99191
588,14.0,50.0,0.42,5.0,2.0,0.06,19.0,3.72,0.74,0.24,0.9917
442,11.2,43.0,0.685,15.6,3.7,0.1,6.0,2.95,0.68,0.76,1.0032
463,9.0,129.0,0.66,8.1,2.2,0.098,25.0,3.08,0.53,0.7,0.9972
1551,9.4,27.0,0.67,7.1,2.3,0.083,18.0,3.44,0.54,0.0,0.99768
51,9.4,15.0,0.52,6.6,2.2,0.069,8.0,3.4,0.63,0.04,0.9956
972,11.6,13.0,0.38,10.1,2.4,0.104,6.0,3.22,0.65,0.5,0.99643
808,9.2,12.0,0.53,7.4,1.9,0.165,4.0,3.26,0.86,0.12,0.99702
1408,12.4,53.0,0.29,8.1,2.2,0.048,35.0,3.27,1.01,0.36,0.995
465,9.7,26.0,0.29,10.0,2.9,0.098,10.0,3.48,0.91,0.4,1.0006
82,9.1,73.0,0.5,7.4,2.0,0.086,21.0,3.36,0.57,0.47,0.997
1480,10.1,13.0,0.62,5.6,1.5,0.08,6.0,3.66,0.62,0.03,0.99498
1382,9.9,105.0,0.6,8.0,2.1,0.08,25.0,3.3,0.49,0.22,0.99613
483,9.4,18.0,0.36,10.6,2.2,0.152,7.0,3.04,1.06,0.6,0.9986
200,10.3,24.0,0.32,9.6,1.4,0.056,9.0,3.22,0.82,0.47,0.99695
1124,11.5,13.0,0.58,6.5,2.2,0.096,3.0,3.62,0.62,0.0,0.99557
891,9.7,86.0,0.66,7.2,2.3,0.078,16.0,3.53,0.57,0.03,0.99743
702,9.4,23.0,0.64,7.0,2.1,0.067,9.0,3.47,0.67,0.02,0.997
1184,10.9,119.0,0.64,6.7,2.1,0.08,11.0,3.36,0.7,0.23,0.99538
318,11.5,59.0,0.66,9.8,3.2,0.083,21.0,3.37,0.71,0.39,0.9989
1317,11.9,41.0,0.44,9.9,2.2,0.091,10.0,3.18,0.69,0.46,0.99638
162,10.0,31.0,0.53,7.8,1.7,0.076,17.0,3.33,0.56,0.04,0.9964
43,10.3,23.0,0.66,8.1,2.2,0.069,9.0,3.3,1.2,0.22,0.9968
1264,11.8,51.0,0.37,8.5,1.8,0.066,26.0,3.38,0.72,0.32,0.99456
595,9.3,109.0,0.595,8.9,7.9,0.086,30.0,3.27,0.57,0.41,0.9998
1154,11.4,63.0,0.58,6.6,2.2,0.1,50.0,3.59,0.68,0.0,0.99544
913,12.2,10.0,0.395,9.4,4.6,0.094,3.0,3.27,0.64,0.46,0.99639
66,9.6,39.0,0.52,7.5,1.5,0.079,11.0,3.42,0.58,0.11,0.9968
1368,9.8,74.0,0.77,8.0,2.1,0.079,16.0,3.27,0.5,0.32,0.99656
441,11.3,27.0,0.4,11.9,2.15,0.068,7.0,3.06,0.68,0.65,0.9988
433,9.5,18.0,0.39,12.3,2.3,0.091,6.0,3.16,0.49,0.63,1.0004
1559,9.9,131.0,0.6,7.8,2.0,0.08,31.0,3.21,0.52,0.26,0.99622
686,9.1,40.0,0.65,7.1,1.8,0.07,13.0,3.44,0.6,0.18,0.997
633,11.3,86.0,0.935,10.1,3.4,0.105,11.0,3.43,0.64,0.22,1.001
700,10.1,88.0,1.02,10.6,2.9,0.076,26.0,3.08,0.57,0.43,0.9984
574,10.0,78.0,0.34,10.6,3.2,0.078,20.0,3.19,0.7,0.49,0.9992
340,9.2,21.0,0.34,12.2,2.4,0.066,10.0,3.12,1.18,0.5,1.0
308,9.5,12.0,0.43,10.3,2.4,0.214,5.0,3.19,0.63,0.44,0.9994
843,9.4,92.0,0.685,7.1,2.0,0.088,9.0,3.28,0.62,0.35,0.9963
1505,9.95,12.0,0.76,6.7,1.8,0.078,6.0,3.55,0.63,0.02,0.996
1324,10.6,34.0,0.46,6.7,1.7,0.077,18.0,3.39,0.6,0.24,0.9948
1165,9.4,38.0,0.44,8.5,1.9,0.369,15.0,3.01,1.1,0.5,0.99634
1510,9.7,48.0,0.36,6.4,2.2,0.047,26.0,3.47,0.77,0.21,0.99661
1105,12.8,49.0,0.57,6.3,2.1,0.048,13.0,3.41,0.6,0.28,0.99374
747,9.4,68.0,0.33,8.6,2.6,0.083,16.0,3.3,0.48,0.4,0.99782
1215,11.3,29.0,0.27,8.8,2.1,0.095,20.0,3.26,0.56,0.46,0.99488
1279,11.5,9.0,0.3,9.8,1.7,0.062,3.0,3.14,0.57,0.39,0.9948
812,10.8,38.0,0.45,10.8,2.5,0.099,20.0,3.24,0.71,0.33,0.99818
507,9.5,13.0,0.67,11.2,2.3,0.084,6.0,3.17,0.71,0.55,1.0
5,9.4,40.0,0.66,7.4,1.8,0.075,13.0,3.51,0.56,0.0,0.9978
901,10.8,33.0,0.635,7.4,2.4,0.08,16.0,3.58,0.69,0.1,0.99736
653,12.0,30.0,0.33,9.4,2.8,0.079,9.0,3.12,0.54,0.59,0.9976
1367,10.5,105.0,0.54,6.9,2.2,0.088,9.0,3.25,1.18,0.3,0.99725
512,9.7,49.0,0.4,10.7,2.1,0.125,15.0,3.03,0.81,0.48,0.998
1339,10.5,31.0,0.51,7.5,1.7,0.084,13.0,3.36,0.54,0.02,0.99538
1144,10.1,70.0,0.32,7.3,2.3,0.066,35.0,3.43,0.62,0.23,0.99588
154,10.5,129.0,0.43,7.1,5.5,0.07,29.0,3.42,0.72,0.42,0.9973
440,9.8,29.0,0.31,12.6,2.2,0.072,6.0,2.88,0.82,0.72,0.9987
820,9.7,22.0,0.685,7.0,1.9,0.099,9.0,3.34,0.6,0.0,0.99606
53,9.4,119.0,0.38,8.6,3.0,0.081,30.0,3.2,0.56,0.36,0.997
504,10.8,22.0,0.24,10.5,1.8,0.077,6.0,3.21,1.05,0.42,0.9976
399,9.4,42.0,0.765,8.7,2.3,0.064,9.0,3.1,0.55,0.22,0.9963
1347,9.5,12.0,0.655,7.2,1.8,0.078,7.0,3.34,0.39,0.03,0.99587
1441,9.56666666666667,98.0,0.785,7.4,5.2,0.094,19.0,3.16,0.52,0.19,0.99713
1431,9.9,74.0,0.43,7.6,2.1,0.069,13.0,3.26,0.54,0.31,0.9958
379,10.8,60.0,0.42,8.3,2.5,0.094,24.0,3.31,0.7,0.38,0.9979
326,11.5,14.0,0.53,11.6,3.65,0.121,6.0,3.05,0.74,0.66,0.9978
280,9.3,19.0,0.26,11.4,3.6,0.071,6.0,3.12,0.82,0.44,0.9986
1049,10.8,17.0,0.5,9.3,1.8,0.084,6.0,3.27,0.77,0.36,0.99704
268,9.4,27.0,0.54,6.9,3.0,0.077,7.0,3.69,0.91,0.04,0.9987
1020,11.9,8.0,0.36,11.3,2.4,0.123,3.0,3.2,0.53,0.66,0.99642
22,9.5,37.0,0.43,7.9,1.6,0.106,10.0,3.17,0.91,0.21,0.9966
394,9.9,25.0,0.6,12.7,2.3,0.063,6.0,3.03,0.57,0.65,0.9997
230,12.2,106.0,0.48,5.2,1.6,0.054,19.0,3.54,0.62,0.04,0.9927
1400,9.9,141.0,0.69,7.9,2.1,0.08,33.0,3.25,0.51,0.21,0.9962
1546,10.2,26.0,0.57,7.0,2.0,0.072,17.0,3.36,0.61,0.02,0.99575
1528,10.1,59.0,0.29,7.9,2.2,0.096,21.0,3.31,0.67,0.49,0.99714
55,9.5,45.0,0.62,7.7,3.8,0.084,25.0,3.34,0.53,0.04,0.9978
19,9.2,56.0,0.32,7.9,1.8,0.341,17.0,3.04,1.08,0.51,0.9969
1536,10.3,45.0,0.53,6.1,1.9,0.077,24.0,3.6,0.68,0.08,0.99528
838,11.2,28.0,0.31,10.1,1.6,0.075,9.0,3.24,0.83,0.35,0.99672
1421,9.4,58.0,0.4,7.5,1.6,0.079,24.0,3.34,0.58,0.18,0.9965
872,10.0,48.0,0.35,7.3,2.0,0.067,28.0,3.43,0.54,0.24,0.99576
274,9.4,94.0,0.65,7.5,7.0,0.088,27.0,3.38,0.77,0.18,0.99915
1411,10.6,19.0,0.47,6.4,2.4,0.071,8.0,3.56,0.73,0.4,0.9963
810,10.5,14.0,0.49,7.3,2.6,0.068,4.0,3.3,0.47,0.1,0.99562
919,11.8,46.0,0.62,8.4,1.8,0.072,38.0,3.38,0.89,0.12,0.99504
1093,12.0,31.0,0.31,9.2,2.2,0.079,11.0,3.33,0.86,0.36,0.99615
1553,9.4,28.0,0.735,7.3,2.2,0.08,18.0,3.41,0.6,0.0,0.99765
833,9.9,51.0,0.47,11.6,1.6,0.147,36.0,3.38,0.86,0.44,0.99836
1057,9.1,90.0,0.42,7.6,3.9,0.104,28.0,3.15,0.57,0.25,0.99784
1527,10.8,24.0,0.53,7.1,1.7,0.071,15.0,3.29,0.66,0.07,0.9951
920,10.5,23.0,0.41,9.6,2.3,0.091,10.0,3.24,0.56,0.37,0.99786
158,9.3,22.0,0.68,7.1,2.2,0.073,12.0,3.48,0.5,0.0,0.9969
74,9.6,83.0,0.32,9.7,2.5,0.094,28.0,3.28,0.82,0.54,0.9984
927,9.2,75.0,0.67,8.4,2.2,0.093,11.0,3.2,0.59,0.19,0.99736
624,10.2,58.0,0.69,6.8,5.6,0.124,21.0,3.46,0.72,0.0,0.9997
847,9.9,39.0,0.68,7.4,1.8,0.078,12.0,3.5,0.7,0.16,0.9977
213,10.1,65.0,0.57,8.2,2.2,0.06,28.0,3.3,0.43,0.26,0.9959
900,11.8,39.0,0.31,8.9,2.6,0.056,10.0,3.4,0.69,0.36,0.99562
1578,11.3,20.0,0.67,6.8,1.8,0.118,13.0,3.42,0.67,0.15,0.9954
1203,9.4,76.0,0.74,9.9,5.8,0.111,33.0,3.14,0.55,0.19,0.99878
895,10.7,43.0,0.59,7.1,2.3,0.08,27.0,3.42,0.58,0.01,0.9955
255,9.3,119.0,0.57,8.0,3.2,0.073,17.0,3.26,0.57,0.23,0.99675
575,10.2,46.0,0.27,12.3,3.1,0.079,28.0,3.2,0.8,0.49,0.9993
